IBINS#,IBADD@IN,IBADDIN,IBWPHR,IBZIP6,IBSTE,IBCITY,IBADD1,IBLABL,IBPAYID,IBCNTC                    IBDEL@ IBDTSTS,,IBMSID       IBDTMSID,,IBDTMT,,IBTMNT,,IBUSER,IBDTES,,IBTESE,,IBUSRC,IBZPGM,INNAMB
0,0,00000000,0,13057,NY,East Syracuse,281 Sanders Creek Parkway,N,6126,1/1/1940,00:00.0,1/1/1940,00:00.0,7/5/2020,00:00.0,1/1/1900,00:00.0,JOBADMIN,1/1/1940,00:00.0,1/1/1900,00:00.0,,ADRMASTRG,
1,277,00000277,4331504,13116,NY,Minoa,P.O. BOX 96,N,6126,1/29/1999,00:00.0,1/29/1999,00:00.0,12/19/2006,00:00.0,1/1/1900,34:51.0,BECKSCH,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,INACTIVE A.S.O. HEALTH PLANS
3,279,00000279,8004281291,25332,WV,Charleston,PO Box 3262,N,87815,1/29/1999,00:00.0,1/29/1999,00:00.0,8/4/2009,00:00.0,1/1/1900,21:11.0,CC_JWAHDEN,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,ACORDIA NATIONAL
3,78937,00078937,8003211855,25339,WV,Charleston,PO Box 11522,N,87815,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,21:37.0,CC_JWAHDEN,6/22/1999,00:00.0,1/1/1900,13:43.0,KATMRET,ADRMASTRG,ACORDIA NATIONAL
3,245931,00245931,8006248605,25332,WV,Charleston,PO Box 3262,N,87815,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,21:17.0,CC_JWAHDEN,9/6/2002,00:00.0,1/1/1900,01:17.0,CHRILOR,ADRMASTRG,ACORDIA NATIONAL
3,468239,00468239,8003853939,25332,WV,Charleston,PO Box 3262,N,87815,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,21:23.0,CC_JWAHDEN,10/14/2005,00:00.0,1/1/1900,44:58.0,BAHBATT,ADRMASTRG,ACORDIA NATIONAL
6,282,00000282,8772386200,6115,CT,Hartford,PO Box 150409,N,60054,1/29/1999,00:00.0,1/29/1999,00:00.0,9/17/2010,00:00.0,1/1/1900,18:14.0,RBOOKMAN,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,INSADR,AETNA US HEALTHCARE
6,342,00000342,8002350123,58502,ND,Bismarck,PO Box 1858,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,40:33.0,CC_JWAHDEN,3/16/1999,00:00.0,1/1/1900,20:59.0,MICHELLES,ADRMASTRG,AETNA US HEALTHCARE
6,597,00000597,8772773368,49501,MI,Grand Rapids,PO Box 120,N,60054,1/29/1999,00:00.0,1/29/1999,00:00.0,8/4/2009,00:00.0,1/1/1900,10:44.0,CC_JWAHDEN,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,AETNA US HEALTHCARE
6,603,00000603,8006434301,1876,MA,Tewksbury,PO Box 1211,N,60054,1/29/1999,00:00.0,1/29/1999,00:00.0,8/4/2009,00:00.0,1/1/1900,09:56.0,CC_JWAHDEN,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,AETNA US HEALTHCARE
6,612,00000612,8005580860,53226,WI,Milwaukee,PO Box 26279,N,60054,1/29/1999,00:00.0,1/29/1999,00:00.0,8/4/2009,00:00.0,1/1/1900,16:28.0,CC_JWAHDEN,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,AETNA US HEALTHCARE
6,616,00000616,8006482511,6115,CT,Hartford,PO Box 150417,N,60054,1/29/1999,00:00.0,1/29/1999,00:00.0,8/4/2009,00:00.0,1/1/1900,00:38.0,CC_JWAHDEN,1/29/1999,00:00.0,1/1/1900,00:00.0,THDIANE,ADRMASTRG,AETNA US HEALTHCARE
6,50388,00050388,8772773368,49501,MI,Grand Rapids,PO Box 353,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,04:57.0,CC_JWAHDEN,2/25/1999,00:00.0,1/1/1900,17:39.0,MICHELLES,ADRMASTRG,AETNA US HEALTHCARE
6,50497,00050497,8004418664,75710,TX,Tyler,PO Box 2520,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,16:01.0,CC_JWAHDEN,3/4/1999,00:00.0,1/1/1900,25:03.0,MICHELLES,ADRMASTRG,AETNA US HEALTHCARE
6,62179,00062179,8004517715,12212,NY,Albany,PO Box 15048,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,24:19.0,CC_JWAHDEN,6/21/2000,00:00.0,1/1/1900,33:09.0,KERLNOD,ADRMASTRG,AETNA US HEALTHCARE
6,74959,00074959,6169424000,49501,MI,Grand Rapids,PO Box 3000,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,40:01.0,CC_JWAHDEN,4/9/1999,00:00.0,1/1/1900,15:24.0,KATMRET,ADRMASTRG,AETNA US HEALTHCARE
6,75143,00075143,8004517715,12212,NY,Albany,PO Box 15250,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,24:25.0,CC_JWAHDEN,1/4/2000,00:00.0,1/1/1900,57:45.0,KERLNOD,ADRMASTRG,AETNA US HEALTHCARE
6,75230,00075230,8004322574,18106,PA,Allentown,PO Box 3905,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,14:05.0,CC_JWAHDEN,4/20/1999,00:00.0,1/1/1900,51:22.0,KATMRET,ADRMASTRG,AETNA US HEALTHCARE
6,75470,00075470,8775086926,19903,DE,Dover,PO Box 7012,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,08:03.0,CC_JWAHDEN,4/27/1999,00:00.0,1/1/1900,36:01.0,KATMRET,ADRMASTRG,AETNA US HEALTHCARE
6,75712,00075712,8606925000,6115,CT,Hartford,PO Box 150431,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,07:29.0,CC_JWAHDEN,5/4/1999,00:00.0,1/1/1900,02:03.0,ROSMALP,ADRMASTRG,AETNA US HEALTHCARE
6,77602,00077602,8004470680,43216,OH,Columbus,PO Box 163248,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,13:24.0,CC_JWAHDEN,6/10/1999,00:00.0,1/1/1900,03:52.0,KATMRET,ADRMASTRG,AETNA US HEALTHCARE
6,80501,00080501,8002252386,78228,TX,San Antonio,PO Box 28905,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,15:52.0,CC_JWAHDEN,7/12/1999,00:00.0,1/1/1900,19:19.0,KATMRET,ADRMASTRG,AETNA US HEALTHCARE
6,85981,00085981,8004517715,93765,CA,Fresno,PO Box 12340,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,48:09.0,CC_JWAHDEN,8/30/1999,00:00.0,1/1/1900,48:48.0,KATMRET,ADRMASTRG,AETNA US HEALTHCARE
6,94752,00094752,8004517715,92707,CA,Santa Ana,6 Hutton Centre Dr Suite 400,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,12/19/2006,00:00.0,1/1/1900,06:14.0,BECKSCH,10/19/1999,00:00.0,1/1/1900,33:10.0,KATMRET,ADRMASTRG,AETNA US HEALTHCARE
6,96454,00096454,8004710351,33631,FL,Tampa,PO Box 31538,N,60054,1/1/1940,00:00.0,1/1/1940,00:00.0,8/4/2009,00:00.0,1/1/1900,08:49.0,CC_JWAHDEN,10/26/1999,00:00.0,1/1/1900,53:45.0,KATMRET,ADRMASTRG,AETNA US HEALTHCARE
